,count
cell_1181,0.0
cell_1182,0.0
cell_1183,3.0
cell_1184,4.0
cell_1185,0.0
cell_1186,4.0
cell_1187,0.0
cell_1188,1.0
cell_1189,2.0
cell_1190,1.0
cell_1191,0.0
cell_1192,4.0
cell_1193,3.0
cell_1194,0.0
cell_1195,0.0
cell_1196,0.0
cell_1197,1.0
cell_1198,2.0
cell_1199,0.0
cell_1200,0.0
cell_1201,0.0
cell_1202,0.0
cell_1203,0.0
cell_1204,1.0
cell_1205,3.0
cell_1206,2.0
cell_1207,1.0
cell_1208,0.0
cell_1209,1.0
cell_1210,0.0
cell_1211,0.0
cell_1212,3.0
cell_1213,1.0
cell_1214,0.0
cell_1215,0.0
cell_1216,1.0
cell_1217,2.0
cell_1218,1.0
cell_1219,0.0
cell_1220,1.0
cell_1221,2.0
cell_1222,3.0
cell_1223,1.0
cell_1224,1.0
cell_1225,0.0
cell_1226,5.0
cell_1227,3.0
cell_1228,0.0
cell_1229,3.0
cell_1230,2.0
cell_1231,4.0
cell_1232,2.0
cell_1233,1.0
cell_1234,0.0
cell_1235,2.0
cell_1236,1.0
cell_1237,1.0
cell_1238,2.0
cell_1239,0.0
cell_1240,0.0
cell_1241,2.0
cell_1242,1.0
cell_1243,2.0
cell_1244,0.0
cell_1245,1.0
cell_1246,1.0
cell_1247,0.0
cell_1248,0.0
cell_1249,0.0
cell_1250,0.0
cell_1251,0.0
cell_1252,2.0
cell_1253,1.0
cell_1254,0.0
cell_1255,0.0
cell_1256,1.0
cell_1257,0.0
cell_1258,0.0
cell_1259,1.0
cell_1260,1.0
cell_1261,4.0
cell_1262,0.0
cell_1263,2.0
cell_1264,3.0
cell_1265,4.0
cell_1266,0.0
cell_1267,2.0
cell_1268,1.0
cell_1269,4.0
cell_1270,2.0
cell_1271,0.0
cell_1272,4.0
cell_1273,2.0
cell_1274,4.0
cell_1275,3.0
cell_1276,1.0
cell_1277,0.0
cell_1278,1.0
cell_1279,1.0
cell_1280,2.0
cell_1281,0.0
cell_1282,1.0
cell_1283,3.0
cell_1284,0.0
cell_1285,3.0
cell_1286,0.0
cell_1287,4.0
cell_1288,1.0
cell_1289,0.0
cell_1290,0.0
cell_1291,3.0
cell_1292,1.0
cell_1293,5.0
cell_1294,1.0
cell_1295,4.0
cell_1296,0.0
cell_1297,2.0
cell_1298,1.0
cell_1299,3.0
cell_1300,1.0
cell_1301,0.0
cell_1302,2.0
cell_1303,0.0
cell_1304,0.0
cell_1305,0.0
cell_1306,0.0
cell_1307,1.0
cell_1308,0.0
cell_1309,0.0
cell_1310,0.0
cell_1311,0.0
cell_1312,0.0
cell_1313,0.0
cell_1314,0.0
cell_1315,1.0
cell_1316,0.0
cell_1317,1.0
cell_1318,0.0
cell_1319,0.0
cell_1320,0.0
cell_1321,2.0
cell_1322,0.0
cell_1323,0.0
cell_1324,0.0
cell_1325,0.0
cell_1326,0.0
cell_1327,3.0
cell_1328,0.0
cell_1329,0.0
cell_1330,3.0
cell_1331,0.0
cell_1332,0.0
cell_1333,0.0
cell_1334,0.0
cell_1335,0.0
cell_1336,0.0
cell_1337,0.0
cell_1338,1.0
cell_1339,0.0
cell_1340,1.0
cell_1341,1.0
cell_1342,4.0
cell_1343,0.0
cell_1344,0.0
cell_1345,0.0
cell_1346,6.0
cell_1347,2.0
cell_1348,3.0
cell_1349,0.0
cell_1350,5.0
cell_1351,2.0
cell_1352,1.0
cell_1353,1.0
cell_1354,1.0
cell_1355,1.0
cell_1356,0.0
cell_1357,0.0
cell_1358,0.0
cell_1359,1.0
cell_1360,3.0
cell_1361,1.0
cell_1362,0.0
cell_1363,1.0
cell_1364,0.0
cell_1365,4.0
cell_1366,1.0
cell_1367,4.0
cell_1368,0.0
cell_1369,0.0
cell_1370,3.0
cell_1371,2.0
cell_1372,1.0
cell_1373,1.0
cell_1374,3.0
cell_1375,0.0
cell_1376,0.0
cell_1377,0.0
